salary,city,company_link,name,person,page_id,company,work,experience,company_field,tag,company_finance,address,date,homepage,company_hope,company_size
[10-20k],北京市朝阳区媒体村天畅园,www.neitui.me/company/detail/domain=huwaijijie.com.html,北京智彩互跃网络技术有限公司,王志亮,445210,公司：北京智彩互跃网络技术有限公司研发部 ,WEB前端工程师,[3-5年经验],移动互联网,"期权,弹性工作",天使轮 500万,地点：北京市朝阳区媒体村天畅园3号楼2001室,02月15日,http://www.huwaijijie.com/,,15-50人
[8-15k],深圳分公司,www.neitui.me/company/detail/domain=isoftstone.com.html,软通动力,祝勇,403611,公司：软通动力技术服务有限公司杭州分公司 ,Linux C/C++开发工程师,[1-3年经验],企业服务,"有薪年假,入职购买五险一,公司发展前景好,团队优秀，发展",已上市 ,地点：杭州市滨江区滨兴路301号慧港科技园A1幢5楼,02月15日,http://www.isoftstone.com, 智慧城市与产业互联网建设的领导者，创新型技术服务提供商。,1000以上
[5-8k],上海市虹口区,www.neitui.me/company/detail/domain=inoherb.com.html,上海相宜本草化妆品股份有限公司,赵小姐,421850,公司：相宜本草市场部 ,高级电商企划,[1-3年经验],消费生活,"补充年假,补充医保,专业培训",D轮 ,地点：上海虹口区四川北路1361号,02月15日,http://www.inoherb.com, 员工因相宜而幸福，世界因相宜而美丽,1000以上
[15-25k],深圳市南山区科技园南区高新南十二路长虹科技大厦 1702室,www.neitui.me/company/detail/domain=yunba.io.html,云巴,雷璐,402374,公司：深圳市微智云科技有限公司市场部 ,品牌公关经理,[1-3年经验],移动互联网,"与牛人一起工作,员工活动丰富",A轮 ,地点：深圳市南山区科技园南区高新南十二道长虹科技大厦1702,02月15日,http://yunba.io, 专注于为移动应用开发者及智能硬件提供云服务,15-50人
[7-15k],深圳分公司,www.neitui.me/company/detail/domain=isoftstone.com.html,软通动力,祝勇,411419,公司：软通动力技术服务有限公司杭州分公司 ,python,[1-3年经验],企业服务,"有薪年假,入职购买五险一,团队优秀，发展,周末加班补贴",已上市 ,地点：杭州市滨江区滨兴路301号慧港科技园A1幢5楼,02月15日,http://www.isoftstone.com, 智慧城市与产业互联网建设的领导者，创新型技术服务提供商。,1000以上
,浙江杭州,www.neitui.me/company/detail/domain=alibaba-inc.com.html,阿里巴巴,阿里巴巴集团招聘,443094,公司：阿里移动事业群 ,阿里移动-主策划,[3-5年经验],电子商务,,已上市 ,地点：广州市,02月15日,http://www.alibaba.com, 做一家102年的企业,1000以上
[10-20k],深圳分公司,www.neitui.me/company/detail/domain=isoftstone.com.html,软通动力,祝勇,414308,公司：软通动力技术服务有限公司杭州分公司 ,高级C++开发工程师,[1-3年经验],企业服务,"入职购买五险一,团队优秀，发展,定期活动,周末加班补贴",已上市 ,地点：杭州市滨江区滨兴路301号慧港科技园A3-B幢6楼,02月15日,http://www.isoftstone.com, 智慧城市与产业互联网建设的领导者，创新型技术服务提供商。,1000以上
[10-15k],北京市海淀区,www.neitui.me/company/detail/domain=ihandysoft.com.html,汉迪世纪,fiona,370516,公司：iHandy汉迪PM ,产品经理,[1-3年经验],移动互联网,"发展好,机会多",C轮 ,地点：北京市海淀区,02月15日,http://www.iHandySoft.com, 成为最专业的移动互联网企业,50-100人
[5-10k],北京市朝阳区小营路25号房地置业大厦9层,www.neitui.me/company/detail/domain=enhance.cn.html,盈禾优仕,xfcc,445175,公司：盈禾优仕 ,视频编辑,[1-3年经验],教育儿童,"十三薪,五险一金,公司体检,管吃",B轮 ,地点：北京市朝阳区小营路25号房地置业大厦9层,02月15日,http://www.kaomanfen.com, 教育突破,100-500人
[6-12k],深圳分公司,www.neitui.me/company/detail/domain=isoftstone.com.html,软通动力,祝勇,411415,公司：软通动力技术服务有限公司杭州分公司 ,软件测试,[1-3年经验],企业服务,"入职购买五险一,公司发展前景好,周末加班补贴",已上市 ,地点：杭州市滨江区滨兴路301号慧港科技园A3-B幢6楼,02月15日,http://www.isoftstone.com, 智慧城市与产业互联网建设的领导者，创新型技术服务提供商。,1000以上
[5-8k],北京市朝阳区建国路甲92号世茂大厦B座6层,www.neitui.me/company/detail/domain=ikang.com.html,爱康国宾,爱康国宾健康管理集团,445208,公司：成都爱康国宾体检医院有限公司销售部 ,大客户经理,[1-3年经验],移动互联网,"年度体检,旅游大奖,节日福利,五险一金",已上市 ,地点：成都市高新区天府三街19号新希望国际C座,02月15日,http://ikang.com,,1000以上
[10-25k],杭州城西,www.neitui.me/company/detail/domain=reluresource.com.html,YOYO,yoyo,445176,公司：YOYO研发部 ,Android开发,[1-3年经验],移动互联网,"国内创新技术,实力创始人班子,未来热门领域",A轮 5000万人民币,地点：杭州城西浙大科技园,02月15日,http://neitui.com,,50-100人
[25-40k],杭州市西湖区,www.neitui.me/company/detail/domain=u51.com.html,51信用卡管家,wowar,443335,公司：51信用卡管家金融中心 ,技术经理,[5-10年经验],移动互联网,"16-18薪,全员mac办公,技术大牛",B轮 1亿美元,地点：杭州西斗门路9号,02月15日,http://www.u51.com,,100-500人
[15-25k],杭州市西湖区,www.neitui.me/company/detail/domain=u51.com.html,51信用卡管家,wowar,439499,公司：51信用卡管家金融业务中心 ,高级前端开发工程师,[3-5年经验],移动互联网,"16-18薪,全员mac办公,技术大牛",B轮 1亿美元,地点：杭州西斗门路9号,02月15日,http://www.u51.com,,100-500人
